"filename", "language", "Lua", "Markdown", "C#", "Properties", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 10, 5, 24
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 77, 0, 0, 77
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 10, 5, 24
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 155, 0, 0, 155
"Total", "-", 1772, 55, 1109, 22, 33, 232, 83, 508, 3814
